fecha,noreste_dioxido_de_nitrogeno,suroeste_dioxido_de_nitrogeno,noroeste_dioxido_de_nitrogeno,sureste_dioxido_de_nitrogeno,centro_dioxido_de_nitrogeno
2009-11-30,16.159961163969374,18.0125,20.180555555555557,18.204166666666666,20.545833333333334
2009-12-31,18.294354838709676,18.172043010752688,21.385752688172044,19.638440860215052,21.348118279569892
2010-01-31,17.27016129032258,14.253219111933275,19.06989247311828,16.717741935483872,19.365591397849464
2010-02-28,16.906378004507403,14.610706873926125,18.43154761904762,16.834821428571427,18.793154761904763
2010-03-31,16.633064516129032,14.165571314294446,17.766129032258064,16.580645161290324,18.133064516129032
2010-04-30,17.273611111111112,13.277777777777779,17.919444444444444,16.601388888888888,18.791666666666668
2010-05-31,19.153225806451612,15.000530939890263,17.8252688172043,18.865591397849464,20.228494623655912
2010-06-30,14.218055555555555,12.033333333333333,15.195833333333333,17.240277777777777,15.894444444444444
2010-07-31,11.993279569892474,12.606182795698924,14.791666666666666,16.486559139784948,16.251344086021504
2010-08-31,12.547043010752688,12.0,14.329301075268818,16.18548387096774,15.413978494623656
2010-09-30,13.068772380797018,11.902777777777779,14.17361111111111,15.868055555555555,14.915277777777778
2010-10-31,19.251344086021504,16.276068574298865,18.6747311827957,19.911290322580644,20.385752688172044
2010-11-30,18.97222222222222,16.868055555555557,20.654166666666665,20.252777777777776,22.67222222222222
2010-12-31,20.887096774193548,18.001344086021504,21.713709677419356,22.751344086021504,23.533602150537636
2011-01-31,18.29032258064516,15.629032258064516,18.399193548387096,15.314516129032258,18.866935483870968
2011-02-28,19.799107142857142,15.589285714285714,19.413690476190474,14.974392264615224,19.390005528976932
2011-03-31,18.428763440860216,15.286290322580646,17.783602150537636,14.828924515806746,18.532258064516128
2011-04-30,16.411230581984686,14.340277777777779,17.615277777777777,13.300900107915286,18.141666666666666
2011-05-31,17.09554572450131,14.454566545213948,18.012096774193548,12.533242015436421,17.782258064516128
2011-06-30,13.522222222222222,12.666666666666666,14.71111111111111,11.729042620131803,14.947222222222223
2011-07-31,15.81989247311828,13.774193548387096,16.197580645161292,13.298387096774194,16.241562469061375
2011-08-31,15.541666666666666,14.135752688172044,15.942204301075268,12.728494623655914,15.879032258064516
2011-09-30,15.968055555555555,15.1625,15.936111111111112,12.916666666666666,16.730555555555554
2011-10-31,17.434139784946236,15.928763440860216,17.602150537634408,14.01747311827957,18.150537634408604
2011-11-30,18.8375,16.990277777777777,19.947222222222223,14.008126589108562,19.316666666666666
2011-12-31,21.274193548387096,19.370967741935484,21.841397849462364,15.538978494623656,21.043010752688172
2012-01-31,20.712365591397848,19.29032258064516,20.936827956989248,15.434139784946236,21.559252305742604
2012-02-29,18.563218390804597,16.405172413793103,18.90948275862069,13.656609195402298,18.42528735632184
2012-03-31,20.400537634408604,18.151881720430108,19.97043010752688,16.188172043010752,20.379032258064516
2012-04-30,20.70277777777778,18.183333333333334,20.122222222222224,16.854166666666668,21.091666666666665
2012-05-31,17.276881720430108,15.884408602150538,17.81451612903226,14.880376344086022,18.731182795698924
2012-06-30,15.363888888888889,14.911111111111111,15.897222222222222,13.32638888888889,16.215779497903934
2012-07-31,17.899193548387096,16.638440860215052,18.06989247311828,14.884408602150538,18.920698924731184
2012-08-31,15.48521505376344,15.548387096774194,16.31048387096774,13.702956989247312,16.419354838709676
2012-09-30,15.465277777777779,15.205555555555556,15.369444444444444,13.8875,16.45138888888889
2012-10-31,17.471774193548388,16.862903225806452,17.106182795698924,15.22983870967742,18.024193548387096
