fecha,noreste_pm10,suroeste_pm10,noroeste_pm10,sureste_pm10,centro_pm10
2009-02-28,73.80505952380952,39.373511904761905,54.05654761904762,51.373511904761905,50.220238095238095
2009-03-31,71.01075268817205,37.361559139784944,46.498655913978496,47.846774193548384,44.829301075268816
2009-04-30,75.17777777777778,41.733333333333334,53.020833333333336,49.9875,48.51111111111111
2009-05-31,59.4005376344086,31.471774193548388,41.19220430107527,37.01075268817204,37.850806451612904
2009-06-30,59.75694444444444,28.979166666666668,36.86805555555556,35.956944444444446,35.209722222222226
2009-07-31,71.3763440860215,31.59543010752688,42.543010752688176,39.9981978445675,38.54032258064516
2009-08-31,65.08870967741936,28.842843631511542,39.25268817204301,35.61424731182796,36.450268817204304
2009-09-30,62.86944444444445,26.55,35.75277777777778,32.75407740150637,33.46388888888889
2009-10-31,68.27956989247312,30.977150537634408,42.200268817204304,41.637524721393056,37.06989247311828
2009-11-30,65.89305555555555,38.72222222222222,48.418055555555554,43.382210183077675,44.291666666666664
2009-12-31,80.69220430107526,39.93817204301075,52.22849462365591,46.20295698924731,46.12096774193548
2010-01-31,72.91801075268818,32.3662015740155,47.575268817204304,38.94489247311828,37.72715053763441
2010-02-28,69.48660714285714,28.436011904761905,40.04761904761905,36.916666666666664,34.09375
2010-03-31,71.98790322580645,36.55980080912611,48.19758064516129,42.31989247311828,39.79435483870968
2010-04-30,70.49861111111112,32.666666666666664,46.141666666666666,41.643055555555556,38.13333333333333
2010-05-31,68.57661290322581,36.134408602150536,47.763440860215056,45.27284946236559,40.56182795698925
2010-06-30,59.202777777777776,27.429166666666667,38.644444444444446,35.9625,31.601388888888888
2010-07-31,59.63978494623656,26.298387096774192,37.45295698924731,34.64784946236559,31.864247311827956
2010-08-31,56.01075268817204,28.26689175246561,36.60349462365591,35.708333333333336,30.512096774193548
2010-09-30,56.515277777777776,25.520833333333332,35.31944444444444,36.016666666666666,32.580555555555556
2010-10-31,77.48387096774194,40.93279569892473,53.06720430107527,50.78629032258065,56.76075268817204
2010-11-30,82.25416666666666,46.095990962176224,61.293055555555554,54.94583333333333,62.897222222222226
2010-12-31,93.57795698924731,53.020161290322584,66.93145161290323,69.5497311827957,68.50806451612904
2011-01-31,82.1975806451613,41.51214762220739,53.130376344086024,50.96170661899512,57.32258064516129
2011-02-28,81.38244047619048,44.875,57.683035714285715,52.20801526377792,61.96577380952381
2011-03-31,76.99462365591398,45.854838709677416,59.729838709677416,56.6735297458407,64.20564516129032
2011-04-30,73.03611111111111,44.956944444444446,55.36805555555556,47.695387007531856,54.31388888888889
2011-05-31,75.01881720430107,48.895161290322584,61.369623655913976,50.26008973477387,63.47043010752688
2011-06-30,56.393055555555556,33.77237985106512,43.079166666666666,43.500284523832484,47.231944444444444
2011-07-31,50.08467741935484,28.094086021505376,39.7244623655914,34.431222578197726,37.14247311827957
2011-08-31,52.178763440860216,29.40084272249162,42.098118279569896,35.178247117524,42.64784946236559
2011-09-30,57.4125,33.641666666666666,42.173611111111114,38.31893997976794,46.50694444444444
2011-10-31,61.193548387096776,34.10215053763441,44.41532258064516,41.387982790804074,55.84139784946237
2011-11-30,68.61805555555556,37.99444444444445,49.358333333333334,43.74305555555556,52.890277777777776
2011-12-31,79.34677419354838,44.090053763440864,59.67741935483871,53.138440860215056,61.638440860215056
2012-01-31,71.97311827956989,43.61021505376344,55.80510752688172,51.36424731182796,58.42607526881721
2012-02-29,58.48132183908046,32.92097701149425,42.13074712643678,37.80670670192859,42.55172413793103
2012-03-31,59.87768817204301,35.626344086021504,46.405913978494624,45.960334401259864,49.854838709677416
2012-04-30,64.43611111111112,40.041666666666664,48.37361111111111,49.93888888888889,51.35
2012-05-31,57.72043010752688,39.09543010752688,45.92204301075269,46.740591397849464,50.00672043010753
2012-06-30,43.42777777777778,29.955555555555556,36.56101890712152,32.18888888888889,36.12916666666667
2012-07-31,47.86827956989247,30.543010752688172,37.10618279569893,33.30779569892473,39.18010752688172
2012-08-31,49.456989247311824,31.716397849462364,37.36424731182796,34.26478494623656,38.678763440860216
2012-09-30,47.233333333333334,32.168055555555554,37.31944444444444,35.8625,38.516666666666666
2012-10-31,53.41935483870968,37.42741935483871,47.22715053763441,42.31586021505376,46.729838709677416
2012-11-30,52.15694444444444,38.40416666666667,45.55,41.81805555555555,45.15833333333333
2012-12-31,77.6747311827957,49.791666666666664,60.748655913978496,52.071236559139784,58.155913978494624
2013-01-31,72.11021505376344,48.108870967741936,64.00268817204301,52.86827956989247,54.02956989247312
2013-02-28,72.6235119047619,44.49702380952381,66.57738095238095,58.67113095238095,53.95238095238095
2013-03-31,62.49731182795699,42.69086021505376,58.056451612903224,47.439516129032256,50.64247311827957
2013-04-30,75.90416666666667,48.919444444444444,67.20694444444445,62.479166666666664,60.69583333333333
2013-05-31,63.14784946236559,40.65860215053763,53.303763440860216,49.57661290322581,47.846774193548384
2013-06-30,54.293055555555554,32.99027777777778,46.40138888888889,41.956944444444446,43.579166666666666
2013-07-31,54.560483870967744,32.435483870967744,45.909946236559136,41.895161290322584,41.560483870967744
2013-08-31,42.86290322580645,28.469086021505376,40.40725806451613,37.36021505376344,34.346774193548384
2013-09-30,46.69305555555555,28.42455688416846,41.80555555555556,33.56527777777778,35.56666666666667
2013-10-31,51.82258064516129,31.26349170822889,47.303763440860216,42.37903225806452,42.02150537634409
2013-11-30,61.63333333333333,34.545833333333334,53.265277777777776,45.14861111111111,46.5375
2013-12-31,61.09543010752688,37.23118279569893,57.13575268817204,47.200268817204304,46.91129032258065
2014-01-31,66.47043010752688,42.920698924731184,64.42069892473118,59.01881720430107,53.05107526881721
2014-02-28,66.78422619047619,42.20982142857143,56.941964285714285,60.013392857142854,56.163690476190474
2014-03-31,56.375,39.278225806451616,50.87231182795699,49.84139784946237,47.89784946236559
2014-04-30,51.459722222222226,34.6625,46.327777777777776,45.97006313002354,45.540277777777774
2014-05-31,48.70564516129032,33.774193548387096,45.259408602150536,43.96236559139785,42.821236559139784
2014-06-30,45.31944444444444,30.976388888888888,42.0125,38.523640180548654,38.68194444444445
2014-07-31,43.774193548387096,28.836021505376344,41.95161290322581,39.153225806451616,35.094086021505376
2014-08-31,42.223118279569896,28.956989247311828,43.75403225806452,41.443319352391285,38.354838709677416
2014-09-30,35.46527777777778,23.10972222222222,36.675,35.42428999241297,30.968055555555555
2014-10-31,45.91935483870968,32.93010752688172,48.278225806451616,45.26747311827957,43.274193548387096
2014-11-30,73.17361111111111,49.31805555555555,74.46527777777777,65.24722222222222,63.13611111111111
2014-12-31,71.68010752688173,50.5011186563044,72.79456143594506,64.0155564454944,64.22715053763442
2015-01-31,90.87231182795699,63.50806451612903,90.55376344086021,84.26075268817205,80.75806451612904
2015-02-28,86.94345238095238,58.86309523809524,83.35565476190476,73.1577380952381,72.80505952380952
2015-03-31,65.87231182795699,41.5994623655914,67.96908602150538,53.38306451612903,54.836021505376344
2015-04-30,94.10694444444445,56.609722222222224,83.50416666666666,77.52777777777777,72.1375
2015-05-31,81.81586021505376,47.75268817204301,67.71774193548387,58.32795698924731,62.23521505376344
2015-06-30,75.34166666666667,51.327777777777776,66.95277777777778,59.94166666666667,62.87638888888889
2015-07-31,73.34946236559139,47.80510752688172,64.29166666666667,62.26747311827957,61.193548387096776
2015-08-31,64.10483870967742,42.19892473118279,57.00672043010753,51.666666666666664,51.84543010752688
2015-09-30,66.72222222222223,38.65694444444444,62.025,55.0,57.46944444444444
2015-10-31,72.38306451612904,42.20967741935484,70.35618279569893,61.331989247311824,58.64650537634409
2015-11-30,87.67916666666666,55.78055555555556,80.74722222222222,76.89305555555555,75.19722222222222
2015-12-31,96.29569892473118,49.61021505376344,90.94354838709677,77.32661290322581,76.15994623655914
2016-01-31,99.8024193548387,47.78360215053763,90.73252688172043,77.63978494623656,73.64516129032258
2016-02-29,100.12212643678161,58.660919540229884,92.4080459770115,88.42241379310344,84.13793103448276
2016-03-31,88.55779569892474,39.87768817204301,81.36424731182795,65.80376344086021,67.24462365591398
2016-04-30,90.57083333333334,44.6,81.99166666666666,69.95694444444445,71.39166666666667
2016-05-31,84.90456989247312,44.85215053763441,74.3010752688172,64.8239247311828,67.6008064516129
2016-06-30,63.829166666666666,32.518055555555556,58.65833333333333,46.138888888888886,47.93194444444445
2016-07-31,68.64381720430107,33.97043010752688,60.043010752688176,54.049731182795696,51.33870967741935
