fecha,noreste_monoxido_de_carbono,suroeste_monoxido_de_carbono,noroeste_monoxido_de_carbono,sureste_monoxido_de_carbono,centro_monoxido_de_carbono
2009-12-31,11.86021505376344,10.327956989247312,13.547043010752688,12.625,13.689516129032258
2010-01-31,12.315860215053764,10.477150537634408,14.240591397849462,14.353494623655914,13.381720430107526
2010-02-28,11.495413095341462,10.010416666666666,13.626488095238095,14.796130952380953,12.508928571428571
2010-03-31,10.223118279569892,9.227898673920437,12.553763440860216,12.047147687953167,11.809139784946236
2010-04-30,9.76388888888889,10.120833333333334,13.158333333333333,12.9,11.126388888888888
2010-05-31,10.181451612903226,10.459030740769178,11.905913978494624,15.03494623655914,11.280913978494624
2010-06-30,8.551388888888889,10.863888888888889,10.47638888888889,13.843055555555555,9.723611111111111
2010-07-31,9.291666666666666,11.185483870967742,12.131720430107526,16.274193548387096,11.010752688172044
2010-08-31,8.755376344086022,7.853494623655914,11.498655913978494,13.829301075268818,10.095430107526882
2010-09-30,8.549656666956093,9.625,10.261111111111111,14.472222222222221,10.2875
2010-10-31,10.513274731322841,12.134408602150538,13.81989247311828,15.584677419354838,10.991935483870968
2010-11-30,11.855555555555556,13.05349843212815,15.386111111111111,16.170833333333334,13.152777777777779
2010-12-31,14.834677419354838,15.50270508165974,18.2997311827957,18.548387096774192,16.639366452891952
2011-01-31,13.09274193548387,12.955645161290322,14.739247311827956,11.51747311827957,13.545698924731182
2011-02-28,12.523809523809524,11.925595238095237,13.788690476190476,10.423314403307938,11.662202380952381
2011-03-31,11.98521505376344,11.039709721292951,12.415322580645162,10.63653558132952,10.318548387096774
2011-04-30,9.969330000096475,8.259722222222223,9.534722222222221,9.152777777777779,10.431944444444444
2011-05-31,10.37231182795699,8.205645161290322,11.620967741935484,9.013440860215054,10.012096774193548
2011-06-30,8.165277777777778,9.450720654350372,10.670833333333333,9.022222222222222,9.272222222222222
2011-07-31,9.801075268817204,9.149193548387096,9.564516129032258,9.13978494623656,10.861559139784946
2011-08-31,9.841397849462366,11.21774193548387,10.190860215053764,8.663978494623656,10.043010752688172
2011-09-30,9.577777777777778,9.573611111111111,10.658333333333333,8.393055555555556,9.741666666666667
2011-10-31,10.325268817204302,10.969086021505376,10.244623655913978,9.131720430107526,9.954301075268818
2011-11-30,10.983333333333333,9.7,10.245833333333334,9.709198664857286,10.911490966046905
2011-12-31,13.801075268817204,11.28763440860215,12.049731182795698,11.495967741935484,13.333333333333334
2012-01-31,12.821236559139784,13.31989247311828,9.995967741935484,11.690860215053764,11.458333333333334
2012-02-29,11.232758620689655,9.748563218390805,9.441091954022989,9.511494252873563,10.413793103448276
2012-03-31,10.635752688172044,10.591397849462366,9.491935483870968,10.71774193548387,9.951612903225806
2012-04-30,11.004166666666666,9.670833333333333,9.868055555555555,10.797222222222222,10.011111111111111
2012-05-31,8.631720430107526,7.110215053763441,7.35752688172043,8.17741935483871,8.133064516129032
2012-06-30,8.530555555555555,8.691666666666666,7.438888888888889,7.688888888888889,8.602777777777778
2012-07-31,9.559139784946236,8.658602150537634,7.827956989247312,9.21505376344086,10.080645161290322
2012-08-31,8.768817204301076,8.561827956989248,8.184139784946236,8.668010752688172,8.99731182795699
2012-09-30,8.304166666666667,7.786111111111111,7.277777777777778,8.498611111111112,9.083333333333334
2012-10-31,9.897849462365592,8.90994623655914,9.01478494623656,10.049731182795698,10.068548387096774
2012-11-30,10.015277777777778,8.32638888888889,7.979166666666667,9.981944444444444,9.808333333333334
2012-12-31,13.14516129032258,10.698924731182796,10.681451612903226,11.34274193548387,12.108870967741936
2013-01-31,11.73252688172043,10.155913978494624,10.681451612903226,10.424731182795698,11.470151111963814
2013-02-28,11.09077380952381,8.580357142857142,10.642857142857142,10.494047619047619,11.235119047619047
2013-03-31,8.873655913978494,7.845430107526882,8.91263440860215,7.775537634408602,9.791666666666666
2013-04-30,10.319444444444445,9.975,10.830555555555556,7.713888888888889,11.858333333333333
2013-05-31,8.99731182795699,8.736559139784946,10.713709677419354,8.873760591178973,10.274193548387096
2013-06-30,8.6125,8.977777777777778,8.979166666666666,8.656944444444445,10.191666666666666
2013-07-31,7.905913978494624,8.048387096774194,9.655913978494624,7.131720430107527,9.34274193548387
2013-08-31,7.426075268817204,7.122311827956989,8.690860215053764,7.151881720430108,8.990591397849462
2013-09-30,9.133333333333333,8.466666666666667,10.416666666666666,7.863888888888889,10.21053452028077
2013-10-31,8.491935483870968,7.720430107526882,9.271505376344086,8.14247311827957,10.15725806451613
2013-11-30,10.17361111111111,10.218055555555555,10.566666666666666,9.623611111111112,10.934722222222222
2013-12-31,9.833333333333334,9.370967741935484,9.96236559139785,8.361559139784946,10.936827956989248
2014-01-31,10.943548387096774,10.415322580645162,10.825268817204302,8.955645161290322,11.008064516129032
2014-02-28,9.604166666666666,8.59672619047619,9.293154761904763,8.620535714285714,9.681547619047619
2014-03-31,8.291666666666666,8.030913978494624,8.454301075268818,7.8917570954609335,8.505376344086022
2014-04-30,9.4625,9.081944444444444,9.308333333333334,7.0680555555555555,10.063888888888888
2014-05-31,8.935483870967742,8.46774193548387,9.131720430107526,7.095430107526882,10.092551545908504
2014-06-30,8.334722222222222,9.141666666666667,8.761111111111111,7.559722222222222,9.795833333333333
2014-07-31,9.21505376344086,7.728494623655914,8.51478494623656,7.036290322580645,9.740591397849462
2014-08-31,9.215733333893514,9.452956989247312,8.564622080927101,7.338621717803587,9.885422800815142
2014-09-30,8.779166666666667,7.751388888888889,7.898611111111111,6.570833333333334,9.066666666666666
2014-10-31,9.258064516129032,9.474462365591398,8.791666666666666,7.193548387096774,9.547043010752688
2014-11-30,12.030555555555555,9.552777777777777,10.993055555555555,8.186111111111112,11.345833333333333
2014-12-31,11.869623655913978,10.219086021505376,10.450268817204302,8.341397849462366,11.967691043690035
2015-01-31,12.143152688732224,9.310585328668106,10.746073693830327,9.165234621029393,11.652895919094712
2015-02-28,11.413690476190476,8.726246640274606,9.52827380952381,7.96875,11.10324000283219
2015-03-31,9.643817204301076,6.28494623655914,8.99731182795699,7.126344086021505,9.856182795698924
2015-04-30,10.791666666666666,7.308333333333334,9.716666666666667,7.656944444444444,10.527777777777779
2015-05-31,9.619623655913978,6.370967741935484,8.603494623655914,7.456989247311828,10.431451612903226
2015-06-30,9.615980000578853,6.877882617401488,8.309831705846895,7.555464663952595,9.445492449731203
2015-07-31,9.52218494679674,6.123858829379228,7.89929950028194,7.349286446359861,8.937005168964646
2015-08-31,9.13341182879726,6.321388745690337,8.027712691283126,6.950808920791402,8.788318719909851
2015-09-30,9.639247778646059,6.887657259435567,8.139747558770342,7.983891440373337,9.637683119041249
2015-10-31,9.57662795810961,6.888643775615785,9.082201151101515,7.459501500123302,9.644501515608779
2015-11-30,10.585081111979392,7.7084905927689,9.327247558770342,8.15472477370667,9.89740534126347
