fecha,noreste_dioxido_de_azufre,suroeste_dioxido_de_azufre,noroeste_dioxido_de_azufre,sureste_dioxido_de_azufre,centro_dioxido_de_azufre
2009-11-30,4.694444444444445,5.411111111111111,9.83611111111111,5.1625,6.163888888888889
2009-12-31,6.736559139784946,5.176075268817204,10.626344086021506,7.010752688172043,8.103494623655914
2010-01-31,7.638440860215054,4.806451612903226,9.486559139784946,5.512096774193548,7.602150537634409
2010-02-28,8.342261904761905,5.619047619047619,9.758928571428571,5.175595238095238,6.28125
2010-03-31,9.92741935483871,5.395161290322581,12.623655913978494,5.208333333333333,7.770161290322581
2010-04-30,5.243055555555555,5.129166666666666,7.447222222222222,3.6527777777777777,5.572222222222222
2010-05-31,6.912634408602151,6.095430107526882,8.071236559139784,4.916666666666667,5.423387096774194
2010-06-30,5.873611111111111,5.727777777777778,9.063888888888888,4.323611111111111,5.688888888888889
2010-07-31,5.020161290322581,4.564516129032258,6.123655913978495,4.310483870967742,5.466397849462366
2010-08-31,3.4408602150537635,5.116935483870968,5.837365591397849,3.3413978494623655,5.711021505376344
2010-09-30,3.8305555555555557,4.25,5.9875,3.0555555555555554,5.688888888888889
2010-10-31,6.573924731182796,5.115591397849462,8.556451612903226,4.598118279569892,7.323924731182796
2010-11-30,5.633333333333334,5.363888888888889,9.747222222222222,4.941666666666666,6.393055555555556
2010-12-31,8.51478494623656,7.424731182795699,12.583333333333334,5.598118279569892,8.434139784946236
2011-01-31,8.131720430107526,5.196236559139785,9.49731182795699,3.704301075268817,6.138440860215054
2011-02-28,9.572916666666666,4.886904761904762,10.089285714285714,5.491071428571429,7.8586309523809526
2011-03-31,6.81989247311828,4.116935483870968,6.747311827956989,4.079301075268817,5.307795698924731
2011-04-30,5.320833333333334,4.063888888888889,5.916666666666667,3.8569444444444443,3.8930555555555557
2011-05-31,7.420698924731183,5.168010752688172,6.876344086021505,3.4623655913978495,5.07258064516129
2011-06-30,6.204166666666667,4.615277777777778,7.027777777777778,3.513888888888889,3.8291666666666666
2011-07-31,6.349462365591398,4.801075268817204,6.412634408602151,4.056451612903226,3.3333333333333335
2011-08-31,7.556451612903226,5.379032258064516,8.88978494623656,4.349462365591398,4.315407500770153
2011-09-30,6.927777777777778,4.322222222222222,8.063888888888888,3.838888888888889,4.590575122227295
2011-10-31,7.495967741935484,5.85752688172043,9.099462365591398,4.916666666666667,6.364247311827957
2011-11-30,7.729166666666667,5.088888888888889,9.065277777777778,3.966666666666667,5.695833333333334
2011-12-31,9.084677419354838,4.736559139784946,10.323924731182796,4.25,6.401881720430108
2012-01-31,7.469086021505376,4.744623655913978,8.48252688172043,4.241935483870968,5.588709677419355
2012-02-29,6.829022988505747,3.5833333333333335,7.347701149425287,3.8807471264367814,4.866379310344827
2012-03-31,6.145161290322581,3.810483870967742,7.299731182795699,4.424731182795699,4.461021505376344
2012-04-30,5.3125,5.072222222222222,7.281944444444444,3.8680555555555554,4.093055555555556
2012-05-31,7.614247311827957,6.471774193548387,11.131720430107526,5.727150537634409,6.510752688172043
2012-06-30,5.684722222222222,4.5,7.759722222222222,3.213888888888889,4.391666666666667
2012-07-31,5.754032258064516,3.985215053763441,6.494623655913978,3.663978494623656,4.78494623655914
2012-08-31,4.716397849462366,4.380376344086022,6.873655913978495,3.15994623655914,4.112903225806452
2012-09-30,6.3597222222222225,4.802777777777778,7.401388888888889,4.451388888888889,5.377777777777778
2012-10-31,7.237903225806452,5.05241935483871,9.504032258064516,4.786290322580645,6.131720430107527
2012-11-30,7.423611111111111,5.711111111111111,9.397222222222222,4.951388888888889,7.058333333333334
2012-12-31,8.012096774193548,6.151881720430108,9.358870967741936,4.702956989247312,6.616935483870968
2013-01-31,13.290322580645162,8.68010752688172,17.02016129032258,7.318548387096774,9.928763440860216
2013-02-28,8.572916666666666,5.254464285714286,9.532738095238095,4.413690476190476,6.273809523809524
2013-03-31,7.618279569892473,5.14247311827957,9.408602150537634,4.376344086021505,6.211021505376344
2013-04-30,8.82638888888889,5.2125,11.045833333333333,4.073674118549931,6.276388888888889
2013-05-31,6.90994623655914,4.310483870967742,7.661290322580645,4.116935483870968,5.051075268817204
2013-06-30,6.776388888888889,3.727777777777778,8.688888888888888,3.5069444444444446,4.897222222222222
2013-07-31,6.270161290322581,3.0618279569892475,6.946236559139785,3.48252688172043,4.655913978494624
2013-08-31,3.225806451612903,2.668010752688172,4.115591397849462,2.0954301075268815,2.735215053763441
2013-09-30,3.9680555555555554,2.7805555555555554,5.0569444444444445,2.313888888888889,3.261111111111111
2013-10-31,6.631720430107527,4.147849462365591,7.298387096774194,3.872311827956989,4.969086021505376
2013-11-30,9.4,5.8375,10.347222222222221,4.7375,6.684722222222222
2013-12-31,8.525537634408602,6.154569892473118,11.399193548387096,4.662634408602151,6.563172043010753
